,from,to,count
293,98,100,1
294,98,101,1
295,98,102,1
296,99,100,1
297,99,101,1
298,99,102,1
299,100,101,1
300,100,102,1
301,101,102,1
302,103,104,1
303,103,105,1
304,103,106,1
305,103,107,1
306,103,108,1
307,103,109,1
308,103,110,1
309,103,111,1
310,103,112,1
311,103,113,1
312,103,114,1
313,104,105,2
314,104,106,2
315,104,107,2
316,104,108,2
317,104,109,2
318,104,110,2
319,104,111,2
320,104,112,2
321,104,113,2
322,104,114,2
323,105,106,2
324,105,107,2
325,105,108,2
326,105,109,2
327,105,110,2
328,105,111,2
329,105,112,2
330,105,113,2
331,105,114,2
332,106,107,2
333,106,108,2
334,106,109,2
335,106,110,2
336,106,111,2
337,106,112,2
338,106,113,2
339,106,114,2
340,107,108,2
341,107,109,2
342,107,110,2
343,107,111,2
344,107,112,2
345,107,113,2
346,107,114,2
347,108,109,2
348,108,110,2
349,108,111,2
350,108,112,2
351,108,113,2
352,108,114,2
353,109,110,2
354,109,111,2
355,109,112,2
356,109,113,2
357,109,114,2
358,110,111,2
359,110,112,2
360,110,113,2
361,110,114,2
362,111,112,2
363,111,113,2
364,111,114,2
365,112,113,2
366,112,114,2
367,113,114,2
368,115,116,1
369,115,117,1
370,115,118,1
371,116,117,1
372,116,118,1
373,117,118,1
374,119,88,1
375,119,90,1
376,119,120,1
377,119,121,1
378,119,91,1
379,119,92,1
380,88,120,1
381,88,121,1
382,88,92,1
383,90,120,1
384,90,121,1
385,90,92,1
386,120,121,1
387,120,91,1
388,120,92,1
389,121,91,1
390,121,92,1
391,91,92,1
392,122,123,1
393,122,124,1
394,122,125,1
395,123,124,1
396,123,125,1
397,124,125,1
398,104,115,1
399,105,115,1
400,106,115,1
401,107,115,1
402,108,115,1
403,109,115,1
404,110,115,1
405,111,115,1
406,112,115,1
407,113,115,1
408,114,115,1
